attachment1,attachment2,diffusion1,diffusion2,total,attachment1_norm,attachment2_norm,diffusion1_norm,diffusion2_norm
2,4,6,43,72,0.027777777777777776,0.05555555555555555,0.08333333333333333,0.5972222222222222
6,19,16,269,467,0.01284796573875803,0.04068522483940043,0.034261241970021415,0.576017130620985
0,0,20,0,20,0.0,0.0,1.0,0.0
2,36,12,451,764,0.002617801047120419,0.04712041884816754,0.015706806282722512,0.5903141361256544
9,40,28,546,942,0.009554140127388535,0.04246284501061571,0.029723991507430998,0.5796178343949044
0,34,8,395,623,0.0,0.05457463884430177,0.012841091492776886,0.6340288924558587
1,18,13,327,531,0.0018832391713747645,0.03389830508474576,0.02448210922787194,0.615819209039548
6,67,60,984,1611,0.0037243947858473,0.04158907510862818,0.037243947858473,0.6108007448789572
7,25,25,495,741,0.009446693657219974,0.033738191632928474,0.033738191632928474,0.6680161943319838
6,74,47,1233,1940,0.003092783505154639,0.03814432989690722,0.02422680412371134,0.6355670103092783
3,20,13,328,528,0.005681818181818182,0.03787878787878788,0.02462121212121212,0.6212121212121212
4,21,46,451,698,0.0057306590257879654,0.03008595988538682,0.0659025787965616,0.6461318051575932
1,18,5,288,466,0.002145922746781116,0.03862660944206009,0.01072961373390558,0.6180257510729614
2,17,11,282,474,0.004219409282700422,0.035864978902953586,0.023206751054852322,0.5949367088607594
5,33,38,588,945,0.005291005291005291,0.03492063492063492,0.04021164021164021,0.6222222222222222
0,8,3,95,171,0.0,0.04678362573099415,0.017543859649122806,0.5555555555555556
8,40,49,832,1323,0.006046863189720333,0.030234315948601664,0.037037037037037035,0.6288737717309146
7,99,44,1537,2403,0.002913025384935497,0.04119850187265917,0.018310445276737412,0.6396171452351228
2,10,6,151,238,0.008403361344537815,0.04201680672268908,0.025210084033613446,0.634453781512605
1,0,2,0,3,0.3333333333333333,0.0,0.6666666666666666,0.0
0,0,1,0,1,0.0,0.0,1.0,0.0
9,103,29,1488,2325,0.003870967741935484,0.04430107526881721,0.012473118279569893,0.64
7,22,48,381,657,0.0106544901065449,0.0334855403348554,0.0730593607305936,0.5799086757990868
7,94,36,1451,2377,0.002944888514934792,0.03954564577198149,0.015145140933950358,0.6104333193100547
1,37,12,697,1085,0.0009216589861751152,0.034101382488479264,0.011059907834101382,0.6423963133640553
0,0,4,0,4,0.0,0.0,1.0,0.0
1,11,20,145,228,0.0043859649122807015,0.04824561403508772,0.08771929824561403,0.6359649122807017
1,2,19,67,118,0.00847457627118644,0.01694915254237288,0.16101694915254236,0.5677966101694916
10,48,17,892,1363,0.007336757153338224,0.03521643433602348,0.012472487160674981,0.6544387380777696
13,88,54,1292,1944,0.006687242798353909,0.04526748971193416,0.027777777777777776,0.6646090534979424
5,29,16,558,839,0.0059594755661501785,0.03456495828367104,0.01907032181168057,0.66507747318236
1,34,25,414,670,0.0014925373134328358,0.050746268656716415,0.03731343283582089,0.6179104477611941
1,0,0,0,1,1.0,0.0,0.0,0.0
0,6,23,136,205,0.0,0.02926829268292683,0.11219512195121951,0.6634146341463415
5,75,80,1049,1752,0.0028538812785388126,0.04280821917808219,0.045662100456621,0.598744292237443
2,9,24,148,225,0.008888888888888889,0.04,0.10666666666666667,0.6577777777777778
9,48,58,706,1146,0.007853403141361256,0.041884816753926704,0.0506108202443281,0.6160558464223386
10,75,60,978,1578,0.0063371356147021544,0.04752851711026616,0.03802281368821293,0.6197718631178707
7,46,31,825,1339,0.005227781926811053,0.03435399551904406,0.02315160567587752,0.6161314413741599
8,47,65,799,1267,0.006314127861089187,0.037095501183898975,0.05130228887134965,0.6306235201262825
4,57,16,743,1131,0.0035366931918656055,0.050397877984084884,0.014146772767462422,0.6569407603890363
6,16,42,334,523,0.011472275334608031,0.030592734225621414,0.08030592734225621,0.638623326959847
7,69,15,1005,1531,0.0045721750489875895,0.045068582625734814,0.009797517962116264,0.6564337034617896
7,69,63,900,1438,0.004867872044506259,0.04798331015299027,0.04381084840055633,0.6258692628650904
5,42,51,609,986,0.005070993914807302,0.04259634888438134,0.05172413793103448,0.6176470588235294
0,0,2,0,2,0.0,0.0,1.0,0.0
9,58,49,794,1227,0.007334963325183374,0.04726976365118175,0.03993480032599837,0.6471067644661777
1,13,8,219,339,0.0029498525073746312,0.038348082595870206,0.02359882005899705,0.6460176991150443
1,18,2,224,412,0.0024271844660194173,0.043689320388349516,0.0048543689320388345,0.5436893203883495
3,8,14,209,294,0.01020408163265306,0.027210884353741496,0.047619047619047616,0.7108843537414966
2,3,11,94,131,0.015267175572519083,0.022900763358778626,0.08396946564885496,0.7175572519083969
2,45,56,836,1279,0.001563721657544957,0.035183737294761534,0.0437842064112588,0.653635652853792
7,50,30,697,1097,0.006381039197812215,0.04557885141294439,0.027347310847766638,0.6353691886964449
7,26,40,417,706,0.009915014164305949,0.036827195467422094,0.056657223796033995,0.5906515580736544
