trial,x,y,z,dx,dy,dz,energy
0,0.01000440797534016,-0.061531667348735164,0.001598476176462422,0.6464029580714721,-0.564925228167279,-0.5128573899015187,5.164472112987183
0,0.010214320745653035,-0.061261006624719706,0.001943095779886941,0.8574561378530902,-0.37850899286972334,0.34856837776082095,13.35433755917532
0,0.009842232076527613,-0.061726377056762184,0.0013727805276859276,0.9527962249464805,-0.12178503391452684,-0.27811465125407053,16.074271476029804
1,0.015357708919721665,-0.011442577256957673,-0.003000001553436376,-0.053016575810841376,-0.06469615722032294,0.9964956848527828,8.313943788349158
1,0.021108589384569547,-0.008125832116909676,-0.0029890242283573043,0.28040026562532255,0.9556412334903648,0.09014168786007346,12.310593493699093
1,0.025202493086675694,-0.011513616668071625,-0.0030000005445445137,-0.25732578577367793,0.06402870373051028,0.9642011019878318,2.4300046343230783
1,0.01985427629108972,-0.009862953889286093,8.776091076409777e-05,-0.5624111836582373,0.7354845014889813,-0.3778309258989333,11.48187002253583
1,0.017266058548421233,0.05646845706548702,-0.20999998562911426,-0.22351987639173543,-0.12712271237284525,-0.9663739860203161,5.4707295766241115
1,0.03950950636756763,-0.022060806012392412,-0.20999998446369522,0.23548235356731906,-0.4492175241838021,-0.8618304224872612,6.380992804309059
1,0.017766351503784843,-0.013346059465897113,-0.0023918772279992425,-0.9804884024366264,-0.19636363245006344,0.009155137262140366,16.425987334970955
1,0.017274836796320952,-0.010667251340695355,-0.0026510626854721175,-0.8983639058882469,-0.18974024280497315,0.3961577121015352,20.468885040229686
1,0.019137691532373123,-0.007764812937099489,-0.0030000010486490886,-0.6499879832145666,0.012238174702954185,0.7598459375140465,3.2964294144731663
1,0.017826707670030403,-0.010785791404935342,-0.002360376975623877,-0.720820442403063,0.6729547012667763,-0.16598150456239572,25.021779732407268
1,0.025348685815817826,-0.012137763337672297,-0.0030000024294366294,0.1760413752981424,-0.25035469867595156,0.9520146842533534,10.655497256723688
1,0.02174433284332252,-0.009592458492458756,0.00034799501687009444,0.9349338931474919,0.3547050312160582,0.009108033491889711,7.450648876613224
1,0.02138304096082894,0.0018784653677278405,-0.17790318997221535,0.5556866066050905,0.8144108714583174,0.16717454259014197,8.89504967847427
1,0.02135307045509981,-0.009343825316264931,-0.0007572693351543562,-0.2528593676158542,0.8778065720844471,0.4068387422729832,2.361017116311806
1,0.02089480720296308,-0.02622794495217439,-0.20999998406137035,0.2429031227652028,0.7185183149055313,-0.651712746611748,2.635581432854545
1,0.0334473346067199,0.0036576740369815325,-0.20999998580051055,-0.8878911932796744,0.19944642315696187,-0.41457249448834677,4.220256341415774
1,-0.009903061896589248,-0.029274645231140616,-0.20999998597597214,0.5934366170665566,-0.4821303605733951,-0.6445023637954859,7.90755400515613
1,0.025371563107479796,-0.05944046909933675,-0.20999998483741605,-0.13161878110393027,0.44573907246504335,-0.8854338912300105,5.516339363828584
1,0.033003506976909555,-0.031589330083260286,-0.20999998585739932,-0.15880452140174395,-0.9532409490239131,-0.25712412777946864,7.375558359449266
1,0.015730410609018718,-0.012190914309374364,-0.004353215178054613,-0.4911470804262916,0.6646799835365231,-0.5630053861861509,10.098351916040636
1,0.029041127134277735,-0.024447727782384736,-0.2099999839822173,-0.3810130277817648,0.10252889317123931,-0.9188671823096376,5.390538991633184
1,0.016454872381393187,-0.008972498512999156,-0.0030000017451331487,0.4700124188372634,-0.07285142749702146,0.8796482226722177,2.769358870380938
1,0.01772972135575135,-0.009821040720866751,-0.002930396548927356,-0.910157865337891,0.16701830845010013,0.3791009691441593,6.924889760060654
1,0.019628203599886207,-0.009963849507368554,-0.00014808887187235366,-0.2824576593522037,0.9131884267663323,0.2937763909733139,9.727090963299387
1,0.048157350985261735,-0.04374377485152289,-0.20999998528109198,0.5154689827191504,0.18764087150136136,-0.8361116140783442,6.645691654690571
1,-0.010908398236316829,-0.011402832655074652,-0.20999998578026166,0.5516005641587413,0.7759021276124074,-0.30612531092070455,6.582678011796482
1,0.019145904150496384,-0.009943060536206173,-0.0009075275900634627,-0.3804834326025783,0.2515727340467879,-0.8899120838595143,4.389955977183712
1,0.025602731654541147,-0.011819510459036134,-0.20999998577956652,-0.03337803188801143,-0.128768464543893,-0.9911128036335172,7.484298417285653
