x = 2234.68, y = 4.727716e-03
x = 2244.59, y = 4.730241e-03
x = 2254.50, y = 4.732784e-03
x = 2264.41, y = 4.735344e-03
x = 2274.32, y = 4.737922e-03
x = 2284.23, y = 4.740517e-03
x = 2294.14, y = 4.743130e-03
x = 2304.05, y = 4.745760e-03
x = 2313.96, y = 4.748407e-03
x = 2323.87, y = 4.751072e-03
x = 2333.78, y = 4.753755e-03
x = 2343.69, y = 4.756454e-03
x = 2353.60, y = 4.759172e-03
x = 2363.51, y = 4.761906e-03
x = 2373.42, y = 4.764658e-03
x = 2383.33, y = 4.767428e-03
x = 2393.24, y = 4.770215e-03
x = 2403.15, y = 4.773020e-03
x = 2413.06, y = 4.775841e-03
x = 2422.97, y = 4.778681e-03
x = 2432.88, y = 4.781538e-03
x = 2442.79, y = 4.784412e-03
x = 2452.70, y = 4.787304e-03
x = 2462.61, y = 4.790213e-03
x = 2472.52, y = 4.793139e-03
x = 2482.43, y = 4.796083e-03
x = 2492.34, y = 4.799045e-03
x = 2502.25, y = 4.802024e-03
x = 2512.16, y = 4.805020e-03
x = 2522.07, y = 4.808034e-03
x = 2531.98, y = 4.811065e-03
x = 2541.89, y = 4.814114e-03
x = 2551.80, y = 4.817180e-03
x = 2561.71, y = 4.820264e-03
x = 2571.62, y = 4.823365e-03
x = 2581.53, y = 4.826484e-03
x = 2591.44, y = 4.829620e-03
x = 2601.35, y = 4.832773e-03
x = 2611.26, y = 4.835944e-03
x = 2621.17, y = 4.839132e-03
x = 2631.08, y = 4.842338e-03
x = 2640.99, y = 4.845561e-03
x = 2650.90, y = 4.848802e-03
x = 2660.81, y = 4.852060e-03
x = 2670.72, y = 4.855335e-03
x = 2680.63, y = 4.858628e-03
x = 2690.54, y = 4.861939e-03
x = 2700.45, y = 4.865267e-03
x = 2710.36, y = 4.868612e-03
x = 2720.27, y = 4.871975e-03
x = 2730.18, y = 4.875355e-03
x = 2740.09, y = 4.878753e-03
x = 2750.00, y = 4.882168e-03
x = 2759.91, y = 4.885600e-03
x = 2769.82, y = 4.889050e-03
x = 2779.73, y = 4.892518e-03
x = 2789.64, y = 4.896003e-03
x = 2799.55, y = 4.899505e-03
x = 2809.46, y = 4.903025e-03
x = 2819.37, y = 4.906562e-03
x = 2829.28, y = 4.910117e-03
x = 2839.19, y = 4.913689e-03
x = 2849.10, y = 4.917278e-03
x = 2859.01, y = 4.920885e-03
x = 2868.92, y = 4.924510e-03
x = 2878.83, y = 4.928152e-03
x = 2888.74, y = 4.931811e-03
x = 2898.65, y = 4.935488e-03
x = 2908.56, y = 4.939182e-03
x = 2918.47, y = 4.942894e-03
x = 2928.38, y = 4.946623e-03
x = 2938.29, y = 4.950370e-03
x = 2948.20, y = 4.954134e-03
x = 2958.11, y = 4.957915e-03
x = 2968.02, y = 4.961714e-03
x = 2977.93, y = 4.965530e-03
x = 2987.84, y = 4.969364e-03
x = 2997.75, y = 4.973216e-03
x = 3007.66, y = 4.975515e-03
x = 3017.57, y = 4.977337e-03
x = 3027.48, y = 4.979140e-03
x = 3037.39, y = 4.980923e-03
x = 3047.30, y = 4.982687e-03
x = 3057.21, y = 4.984431e-03
x = 3067.12, y = 4.986156e-03
x = 3077.03, y = 4.987861e-03
x = 3086.94, y = 4.989547e-03
x = 3096.85, y = 4.991213e-03
x = 3106.76, y = 4.992860e-03
x = 3116.67, y = 4.994487e-03
x = 3126.58, y = 4.996095e-03
x = 3136.49, y = 4.997683e-03
x = 3146.40, y = 4.999252e-03
x = 3156.31, y = 5.000801e-03
x = 3166.22, y = 5.002330e-03
x = 3176.13, y = 5.003840e-03
x = 3186.04, y = 5.005331e-03
x = 3195.95, y = 5.006802e-03
x = 3205.86, y = 5.008254e-03
x = 3215.77, y = 5.009686e-03
x = 3225.68, y = 5.011098e-03
