x = 550.00, y = 2.242401e-03
x = 559.91, y = 2.242401e-03
x = 569.82, y = 2.242401e-03
x = 579.73, y = 2.242401e-03
x = 589.64, y = 2.242401e-03
x = 599.55, y = 2.242401e-03
x = 609.46, y = 2.242401e-03
x = 619.37, y = 2.242401e-03
x = 629.28, y = 2.242401e-03
x = 639.19, y = 2.242401e-03
x = 649.10, y = 2.242401e-03
x = 659.01, y = 2.242401e-03
x = 668.92, y = 2.242401e-03
x = 678.83, y = 2.242401e-03
x = 688.74, y = 2.242401e-03
x = 698.65, y = 2.242401e-03
x = 708.56, y = 2.242401e-03
x = 718.47, y = 2.242401e-03
x = 728.38, y = 2.242401e-03
x = 738.29, y = 2.242401e-03
x = 748.20, y = 2.242401e-03
x = 758.11, y = 2.242401e-03
x = 768.02, y = 2.242401e-03
x = 777.93, y = 2.242401e-03
x = 787.84, y = 2.242401e-03
x = 797.75, y = 2.242401e-03
x = 807.66, y = 2.242401e-03
x = 817.57, y = 2.242401e-03
x = 827.48, y = 2.242401e-03
x = 837.39, y = 2.242401e-03
x = 847.30, y = 2.242401e-03
x = 857.21, y = 2.242401e-03
x = 867.12, y = 2.242401e-03
x = 877.03, y = 2.242401e-03
x = 886.94, y = 2.242401e-03
x = 896.85, y = 2.242401e-03
x = 906.76, y = 2.242401e-03
x = 916.67, y = 2.242401e-03
x = 926.58, y = 2.242401e-03
x = 936.49, y = 2.242401e-03
x = 946.40, y = 2.242401e-03
x = 956.31, y = 2.242401e-03
x = 966.22, y = 2.242401e-03
x = 976.13, y = 2.242401e-03
x = 986.04, y = 2.242401e-03
x = 995.95, y = 2.242401e-03
x = 1005.86, y = 2.240892e-03
x = 1015.77, y = 2.238352e-03
x = 1025.68, y = 2.235831e-03
x = 1035.59, y = 2.233329e-03
x = 1045.50, y = 2.230846e-03
x = 1055.41, y = 2.228382e-03
x = 1065.32, y = 2.225937e-03
x = 1075.23, y = 2.223510e-03
x = 1085.14, y = 2.221103e-03
x = 1095.05, y = 2.218715e-03
