x = 906.76, y = 1.536990e-03
x = 916.67, y = 1.536990e-03
x = 926.58, y = 1.536990e-03
x = 936.49, y = 1.536990e-03
x = 946.40, y = 1.536990e-03
x = 956.31, y = 1.536990e-03
x = 966.22, y = 1.536990e-03
x = 976.13, y = 1.536990e-03
x = 986.04, y = 1.536990e-03
x = 995.95, y = 1.536990e-03
x = 1005.86, y = 1.536213e-03
x = 1015.77, y = 1.534934e-03
x = 1025.68, y = 1.533700e-03
x = 1035.59, y = 1.532509e-03
x = 1045.50, y = 1.531363e-03
x = 1055.41, y = 1.530260e-03
x = 1065.32, y = 1.529202e-03
x = 1075.23, y = 1.528188e-03
x = 1085.14, y = 1.527218e-03
x = 1095.05, y = 1.526293e-03
x = 1104.95, y = 1.525411e-03
x = 1114.86, y = 1.524574e-03
x = 1124.77, y = 1.523781e-03
x = 1134.68, y = 1.523032e-03
x = 1144.59, y = 1.522327e-03
x = 1154.50, y = 1.521666e-03
x = 1164.41, y = 1.521050e-03
x = 1174.32, y = 1.520477e-03
x = 1184.23, y = 1.519962e-03
x = 1194.14, y = 1.519694e-03
x = 1204.05, y = 1.519446e-03
x = 1213.96, y = 1.519216e-03
x = 1223.87, y = 1.519007e-03
x = 1233.78, y = 1.518816e-03
x = 1243.69, y = 1.518645e-03
x = 1253.60, y = 1.518493e-03
x = 1263.51, y = 1.518360e-03
x = 1273.42, y = 1.518247e-03
x = 1283.33, y = 1.518153e-03
x = 1293.24, y = 1.518079e-03
x = 1303.15, y = 1.518024e-03
x = 1313.06, y = 1.517988e-03
x = 1322.97, y = 1.517972e-03
x = 1332.88, y = 1.517974e-03
x = 1342.79, y = 1.517997e-03
x = 1352.70, y = 1.518038e-03
x = 1362.61, y = 1.518099e-03
x = 1372.52, y = 1.517975e-03
x = 1382.43, y = 1.517679e-03
x = 1392.34, y = 1.517393e-03
x = 1402.25, y = 1.517120e-03
x = 1412.16, y = 1.516858e-03
x = 1422.07, y = 1.516607e-03
x = 1431.98, y = 1.516369e-03
x = 1441.89, y = 1.516142e-03
x = 1451.80, y = 1.515926e-03
x = 1461.71, y = 1.515723e-03
x = 1471.62, y = 1.515531e-03
x = 1481.53, y = 1.515350e-03
x = 1491.44, y = 1.515181e-03
x = 1501.35, y = 1.515024e-03
x = 1511.26, y = 1.514879e-03
x = 1521.17, y = 1.514745e-03
x = 1531.08, y = 1.514623e-03
x = 1540.99, y = 1.514512e-03
x = 1550.90, y = 1.514413e-03
x = 1560.81, y = 1.514561e-03
x = 1570.72, y = 1.514732e-03
x = 1580.63, y = 1.514923e-03
x = 1590.54, y = 1.515136e-03
x = 1600.45, y = 1.515369e-03
x = 1610.36, y = 1.515623e-03
x = 1620.27, y = 1.515897e-03
x = 1630.18, y = 1.516193e-03
x = 1640.09, y = 1.516509e-03
x = 1650.00, y = 1.516845e-03
x = 1659.91, y = 1.517203e-03
x = 1669.82, y = 1.517581e-03
x = 1679.73, y = 1.517980e-03
x = 1689.64, y = 1.518400e-03
x = 1699.55, y = 1.518840e-03
x = 1709.46, y = 1.519301e-03
x = 1719.37, y = 1.519783e-03
x = 1729.28, y = 1.520285e-03
x = 1739.19, y = 1.520824e-03
x = 1749.10, y = 1.521389e-03
x = 1759.01, y = 1.521953e-03
x = 1768.92, y = 1.522518e-03
x = 1778.83, y = 1.523083e-03
x = 1788.74, y = 1.523649e-03
x = 1798.65, y = 1.524215e-03
x = 1808.56, y = 1.524781e-03
x = 1818.47, y = 1.525348e-03
x = 1828.38, y = 1.525916e-03
x = 1838.29, y = 1.526483e-03
x = 1848.20, y = 1.527051e-03
x = 1858.11, y = 1.527620e-03
x = 1868.02, y = 1.528189e-03
x = 1877.93, y = 1.528758e-03
x = 1887.84, y = 1.529327e-03
x = 1897.75, y = 1.529897e-03
x = 1907.66, y = 1.530468e-03
x = 1917.57, y = 1.531039e-03
x = 1927.48, y = 1.531378e-03
x = 1937.39, y = 1.531701e-03
x = 1947.30, y = 1.532026e-03
x = 1957.21, y = 1.532355e-03
x = 1967.12, y = 1.532686e-03
x = 1977.03, y = 1.533021e-03
x = 1986.94, y = 1.533359e-03
x = 1996.85, y = 1.533700e-03
x = 2006.76, y = 1.534044e-03
x = 2016.67, y = 1.534391e-03
x = 2026.58, y = 1.534742e-03
x = 2036.49, y = 1.535095e-03
x = 2046.40, y = 1.535452e-03
x = 2056.31, y = 1.535812e-03
x = 2066.22, y = 1.536175e-03
x = 2076.13, y = 1.536541e-03
