x = 2571.62, y = 1.275839e-03
x = 2581.53, y = 1.278205e-03
x = 2591.44, y = 1.280574e-03
x = 2601.35, y = 1.282945e-03
x = 2611.26, y = 1.285319e-03
x = 2621.17, y = 1.287696e-03
x = 2631.08, y = 1.290075e-03
x = 2640.99, y = 1.292456e-03
x = 2650.90, y = 1.294840e-03
x = 2660.81, y = 1.297025e-03
x = 2670.72, y = 1.299156e-03
x = 2680.63, y = 1.301288e-03
x = 2690.54, y = 1.303423e-03
x = 2700.45, y = 1.305560e-03
x = 2710.36, y = 1.307699e-03
x = 2720.27, y = 1.309839e-03
x = 2730.18, y = 1.311982e-03
x = 2740.09, y = 1.314127e-03
x = 2750.00, y = 1.316274e-03
x = 2759.91, y = 1.318422e-03
x = 2769.82, y = 1.320573e-03
x = 2779.73, y = 1.322726e-03
x = 2789.64, y = 1.324881e-03
x = 2799.55, y = 1.327038e-03
x = 2809.46, y = 1.329197e-03
x = 2819.37, y = 1.331358e-03
x = 2829.28, y = 1.333521e-03
x = 2839.19, y = 1.335707e-03
x = 2849.10, y = 1.337973e-03
x = 2859.01, y = 1.340259e-03
x = 2868.92, y = 1.342565e-03
x = 2878.83, y = 1.344891e-03
x = 2888.74, y = 1.347237e-03
x = 2898.65, y = 1.349604e-03
x = 2908.56, y = 1.351990e-03
x = 2918.47, y = 1.354397e-03
x = 2928.38, y = 1.356824e-03
x = 2938.29, y = 1.359271e-03
x = 2948.20, y = 1.361738e-03
x = 2958.11, y = 1.364225e-03
x = 2968.02, y = 1.366733e-03
x = 2977.93, y = 1.369260e-03
x = 2987.84, y = 1.371808e-03
x = 2997.75, y = 1.374376e-03
x = 3007.66, y = 1.376964e-03
x = 3017.57, y = 1.379572e-03
x = 3027.48, y = 1.382273e-03
x = 3037.39, y = 1.385021e-03
x = 3047.30, y = 1.387788e-03
x = 3057.21, y = 1.390572e-03
x = 3067.12, y = 1.393375e-03
x = 3077.03, y = 1.396195e-03
x = 3086.94, y = 1.399033e-03
x = 3096.85, y = 1.401890e-03
x = 3106.76, y = 1.404764e-03
x = 3116.67, y = 1.407657e-03
x = 3126.58, y = 1.410567e-03
x = 3136.49, y = 1.413496e-03
x = 3146.40, y = 1.416443e-03
x = 3156.31, y = 1.419407e-03
x = 3166.22, y = 1.422390e-03
